task_id,sequence,reference_gap,target_index,normalized_time,setting_label,keep_fraction,side_bits,payload_bytes,base_anchor_mse,corrected_anchor_mse,anchor_mse_reduction,base_render_mse,corrected_render_mse,base_psnr,corrected_psnr,delta_psnr_vs_base,status,error
stage199_00020274,blackswan,8,39,0.875,topk_keep0p05_q6,0.05,6,16411,0.007551450747996569,0.003987929318100214,0.4718989170182659,0.008547434583306313,0.0061570205725729465,20.681642143357326,22.106293952894696,1.4246518095373695,ok,
stage199_00020274,blackswan,8,39,0.875,topk_keep0p1_q6,0.1,6,31217,0.007551450747996569,0.002551865763962269,0.6620694686197497,0.008547434583306313,0.00451990682631731,20.681642143357326,23.448705176738656,2.76706303338133,ok,
stage199_00020274,blackswan,8,39,0.875,topk_keep0p2_q6,0.2,6,58443,0.007551450747996569,0.001225229469127953,0.8377491279469694,0.008547434583306313,0.0029239808209240437,20.681642143357326,25.34025480344195,4.658612660084625,ok,
stage199_00022031,car-shadow,8,31,0.875,topk_keep0p05_q6,0.05,6,15885,0.008596889674663544,0.0043729934841394424,0.4913284164821403,0.015723787248134613,0.008917347528040409,18.03442841065777,20.497643076466648,2.463214665808877,ok,
stage199_00022031,car-shadow,8,31,0.875,topk_keep0p1_q6,0.1,6,30348,0.008596889674663544,0.0024395252112299204,0.7162316484740283,0.015723787248134613,0.005582335405051708,18.03442841065777,22.53184073224122,4.49741232158345,ok,
stage199_00022031,car-shadow,8,31,0.875,topk_keep0p2_q6,0.2,6,58118,0.008596889674663544,0.0008653954137116671,0.8993362196723158,0.015723787248134613,0.002799455774948001,18.03442841065777,25.529263889826268,7.494835479168497,ok,
stage199_00027048,motocross-jump,8,31,0.875,topk_keep0p05_q6,0.05,6,13790,0.007251449394971132,0.003774243174120784,0.47951878741121534,0.018246006220579147,0.00838112086057663,17.388321814089373,20.766978965234667,3.378657151145294,ok,
stage199_00027048,motocross-jump,8,31,0.875,topk_keep0p1_q6,0.1,6,27586,0.007251449394971132,0.002164252335205674,0.7015421031957308,0.018246006220579147,0.004723706748336554,17.388321814089373,23.257170715861257,5.868848901771884,ok,
stage199_00027048,motocross-jump,8,31,0.875,topk_keep0p2_q6,0.2,6,53717,0.007251449394971132,0.0011696232249960303,0.8387049041799614,0.018246006220579147,0.002899260725826025,17.388321814089373,25.377127274887403,7.98880546079803,ok,
stage199_00026240,libby,8,41,0.125,topk_keep0p05_q6,0.05,6,16439,0.011520996689796448,0.007293012924492359,0.3669807291107544,0.017523568123579025,0.01336177159100771,17.563774587498393,18.741359564419806,1.1775849769214126,ok,
stage199_00026240,libby,8,41,0.125,topk_keep0p1_q6,0.1,6,31827,0.011520996689796448,0.0050265127792954445,0.5637085128453194,0.017523568123579025,0.009519360028207302,17.563774587498393,20.21392247577768,2.6501478882792853,ok,
stage199_00026240,libby,8,41,0.125,topk_keep0p2_q6,0.2,6,60869,0.011520996689796448,0.002580203115940094,0.7760434113981435,0.017523568123579025,0.004967241548001766,17.563774587498393,23.038847205335426,5.475072617837032,ok,
