task_id,sequence,gap,codec,target_index,normalized_time,method,side_bits,psnr,ssim,ms_ssim,lpips,payload_bytes,side_mib_per_intermediate,q12_main_anchor_mib_per_frame_ref,direct_total_mib_per_frame_ref,delta_psnr_vs_original,delta_ssim_vs_original,delta_ms_ssim_vs_original,delta_lpips_vs_original
stage79_00029140,paragliding-launch,4,q12,59,0.75,image_residual_sideinfo_full_frame,3,27.306467887131074,0.8198471665382385,0.9614402651786804,0.19996657967567444,24343,0.023215293884277344,0.18193822076791313,0.20515351465219048,-0.9127932831161907,0.05006676912307739,0.011088788509368896,-0.011515393853187561
stage79_00029140,paragliding-launch,4,q12,59,0.75,image_residual_sideinfo_full_frame,4,33.74032567141097,0.8868286609649658,0.9798960089683533,0.10238543897867203,49956,0.047641754150390625,0.18193822076791313,0.22957997491830376,5.521064501163707,0.11704826354980469,0.029544532299041748,-0.10909653455018997
stage79_00029140,paragliding-launch,4,q12,59,0.75,image_residual_sideinfo_full_frame,5,38.72154664269499,0.9405316710472107,0.9908792972564697,0.0588969849050045,126523,0.12066173553466797,0.18193822076791313,0.3025999563025811,10.502285472447724,0.17075127363204956,0.0405278205871582,-0.1525849886238575
stage79_00029140,paragliding-launch,4,q12,59,0.75,image_residual_sideinfo_full_frame,6,44.957837418335814,0.9844970703125,0.9978682398796082,0.01539713703095913,177910,0.16966819763183594,0.18193822076791313,0.35160641839974904,16.73857624808855,0.21471667289733887,0.04751676321029663,-0.19608483649790287
stage79_00027486,kite-surf,8,q12,2,0.25,original_streamsplat_base,0,22.16251036940089,0.45570436120033264,0.6301705241203308,0.2987256646156311,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
stage79_00027486,kite-surf,8,q12,2,0.25,image_residual_sideinfo_full_frame,3,26.09659570106732,0.6075201034545898,0.8455631136894226,0.3926341235637665,35888,0.0342254638671875,0.09762538675351436,0.13185085062070184,3.9340853316664273,0.1518157422542572,0.2153925895690918,0.09390845894813538
stage79_00027486,kite-surf,8,q12,2,0.25,image_residual_sideinfo_full_frame,4,32.28426877968215,0.8118740916252136,0.961249589920044,0.18356215953826904,61938,0.05906867980957031,0.09762538675351436,0.15669406656308466,10.12175841028126,0.356169730424881,0.33107906579971313,-0.11516350507736206
stage79_00027486,kite-surf,8,q12,2,0.25,image_residual_sideinfo_full_frame,5,38.45113528492213,0.940215528011322,0.9917842745780945,0.06322843581438065,128170,0.12223243713378906,0.09762538675351436,0.2198578238873034,16.28862491552124,0.4845111668109894,0.36161375045776367,-0.23549722880125046
stage79_00027486,kite-surf,8,q12,2,0.25,image_residual_sideinfo_full_frame,6,44.62176956871416,0.984403133392334,0.9980964064598083,0.01574583165347576,182797,0.17432880401611328,0.09762538675351436,0.2719541907696276,22.459259199313266,0.5286987721920013,0.36792588233947754,-0.28297983296215534
stage79_00024728,dog,8,q12,5,0.625,original_streamsplat_base,0,21.521303215025277,0.36079224944114685,0.6203567981719971,0.4600203037261963,0,0.0,0.09762538675351436,0.09762538675351436,0.0,0.0,0.0,0.0
stage79_00024728,dog,8,q12,5,0.625,image_residual_sideinfo_full_frame,3,27.632916015919097,0.7184605598449707,0.9465093016624451,0.3498562276363373,81166,0.07740592956542969,0.09762538675351436,0.17503131631894403,6.11161280089382,0.35766831040382385,0.326152503490448,-0.11016407608985901
