source,role,setting_label,base_method,codec,reference_gap,task_count,keep_fraction,side_bits,sideinfo_payload_bytes,sideinfo_mib_per_intermediate_frame,q12_main_anchor_mib_per_frame,direct_total_mib_per_frame,amortized_total_mib_per_frame,base_psnr,psnr,delta_psnr_vs_base,delta_psnr_vs_q6_top10,stage96_entropy_direct_total_mib_per_frame,stage96_entropy_amortized_total_mib_per_frame,stage96_entropy_psnr,direct_rate_delta_vs_stage96_entropy,amortized_rate_delta_vs_stage96_entropy,psnr_delta_vs_stage96_entropy
stage121_compressed_deterministic,low_rate,q4_top10,stage65_adapter,q12,8,19,0.1,4,16738.947368421053,0.015963504188939145,0.09762538675351438,0.11358889094245352,0.11159345291883613,18.706547218120296,19.869875696552683,1.1633284784323843,-0.02750716655077471,0.13149337333220473,0.12725987500986843,21.39901144086742,-0.017904482389751217,-0.015666422091032306,-1.5291357443147362
stage121_compressed_deterministic,low_rate,q4_top10,stage65_adapter,q12,16,23,0.1,4,16367.695652173914,0.015609450962232508,0.05546896974631497,0.07107842070854745,0.07010283002340792,17.32823013943833,18.46389873082184,1.1356685913835063,-0.028354014718242605,0.08923517723400179,0.08712478926602138,20.292022340267458,-0.018156756525454343,-0.01702195924261346,-1.828123609445619
stage121_compressed_deterministic,near_anchor,q5_top10,linear,q12,4,18,0.1,5,22374.444444444445,0.021337933010525174,0.1819382207679131,0.20327615377843827,0.19794167052580697,19.984796422852106,21.4784888866844,1.4936924638322937,-0.0067591088616584865,0.21042431365324843,0.2033027904319146,23.403532118481326,-0.007148159874810156,-0.005361119906107631,-1.925043231796927
stage121_compressed_deterministic,near_anchor,q5_top10,linear,q12,8,19,0.1,5,22856.0,0.02179718017578125,0.09762538675351438,0.11942256692929562,0.11669791940732296,18.457589807006293,19.733089874168467,1.275500067162173,-0.004381487062289486,0.12665608623246688,0.1230272487975978,21.51362735577916,-0.00723351930317126,-0.006329329390274835,-1.7805374816106934
stage121_compressed_deterministic,near_anchor,q5_top10,linear,q12,16,23,0.1,5,22580.565217391304,0.021534505097762398,0.05546896974631497,0.07700347484407734,0.07565756827546719,17.08421543617396,18.347161779615238,1.262946343441282,-0.005894692844166433,0.08430766643343285,0.08250524789048798,20.344147709407626,-0.00730419158935551,-0.006847679615020794,-1.9969859297923875
stage121_compressed_deterministic,near_anchor,q5_top10,stage65_adapter,q12,4,18,0.1,5,26795.944444444445,0.02555460400051541,0.1819382207679131,0.2074928247684285,0.20110417376829964,20.041732308843873,21.36863127411855,1.3268989652746772,-0.009003830650041462,0.21508592669374865,0.20679900021228975,22.841151135422116,-0.007593101925320145,-0.005694826443990109,-1.4725198613035673
stage121_compressed_deterministic,near_anchor,q5_top10,stage65_adapter,q12,8,19,0.1,5,27233.526315789473,0.025971914592542146,0.09762538675351438,0.12359730134605652,0.12035081202198876,18.706547218120296,19.89334851206736,1.1868012939470625,-0.004034351036096763,0.13149337333220473,0.12725987500986843,21.39901144086742,-0.00789607198614821,-0.006909062987879674,-1.50566292880006
stage121_compressed_deterministic,near_anchor,q5_top10,stage65_adapter,q12,16,23,0.1,5,27003.17391304348,0.025752233422320824,0.05546896974631497,0.08122120316863576,0.0796116885797407,17.32823013943833,18.48654307969604,1.15831294025771,-0.00570966584403898,0.08923517723400179,0.08712478926602138,20.292022340267458,-0.008013974065366025,-0.00751310068628068,-1.805479260571417
stage121_compressed_deterministic,anchor,q6_top10,linear,q12,4,18,0.1,6,26607.944444444445,0.025375313229031034,0.1819382207679131,0.20731353399694413,0.20096970568968636,19.984796422852106,21.485247995546057,1.500451572693952,0.0,0.21042431365324843,0.2033027904319146,23.403532118481326,-0.0031107796563042966,-0.0023330847422282364,-1.918284122935269
stage121_compressed_deterministic,anchor,q6_top10,linear,q12,8,19,0.1,6,27140.947368421053,0.025883624428196958,0.09762538675351438,0.12350901118171133,0.12027355812818671,18.457589807006293,19.737471361230757,1.2798815542244626,0.0,0.12665608623246688,0.1230272487975978,21.51362735577916,-0.0031470750507555517,-0.002753690669411085,-1.7761559945484038
stage121_compressed_deterministic,anchor,q6_top10,linear,q12,16,23,0.1,6,26847.260869565216,0.025603543157162872,0.05546896974631497,0.0810725129034778,0.07947229145615513,17.08421543617396,18.353056472459404,1.2688410362854485,0.0,0.08430766643343285,0.08250524789048798,20.344147709407626,-0.0032351535299550427,-0.0030329564343328508,-1.9910912369482219
stage121_compressed_deterministic,anchor,q6_top10,stage65_adapter,q12,4,18,0.1,6,31771.88888888889,0.030300034417046443,0.1819382207679131,0.21223825518495953,0.20466324658069793,20.041732308843873,21.377635104768594,1.3359027959247187,0.0,0.21508592669374865,0.20679900021228975,22.841151135422116,-0.002847671508789118,-0.0021357536315918246,-1.4635160306535226
stage121_compressed_deterministic,anchor,q6_top10,stage65_adapter,q12,8,19,0.1,6,32255.263157894737,0.030761016042608964,0.09762538675351438,0.12838640279612334,0.12454127579079721,18.706547218120296,19.897382863103463,1.1908356449831592,0.0,0.13149337333220473,0.12725987500986843,21.39901144086742,-0.003106970536081388,-0.0027185992190712216,-1.501628577763956
stage121_compressed_deterministic,anchor,q6_top10,stage65_adapter,q12,16,23,0.1,6,32009.260869565216,0.030526409978451935,0.05546896974631497,0.08599537972476687,0.08408747910111361,17.32823013943833,18.49225274554008,1.1640226061017487,0.0,0.08923517723400179,0.08712478926602138,20.292022340267458,-0.0032397975092349207,-0.0030373101649077694,-1.7997695947273797
