point_type,role,setting_label,base_method,codec,reference_gap,rate_mode,rate_mib_per_frame,sideinfo_mib_per_intermediate_frame,psnr,delta_psnr_vs_base,task_count
compressed_deterministic,low_rate,q4_top10,linear,q12,16,amortized,0.06792060031792908,0.013281739276388416,18.329279761548516,1.2450643253745575,23
compressed_deterministic,low_rate,q4_top10,stage65_adapter,q12,4,direct,0.19733937221308995,0.015401151445176866,21.35108292855556,1.3093506197116846,18
compressed_deterministic,low_rate,q4_top10,stage65_adapter,q12,4,amortized,0.19348908435179574,0.015401151445176866,21.35108292855556,1.3093506197116846,18
compressed_deterministic,low_rate,q4_top10,stage65_adapter,q12,8,direct,0.11358889094245352,0.015963504188939145,19.869875696552683,1.1633284784323843,19
compressed_deterministic,low_rate,q4_top10,stage65_adapter,q12,8,amortized,0.11159345291883613,0.015963504188939145,19.869875696552683,1.1633284784323843,19
compressed_deterministic,low_rate,q4_top10,stage65_adapter,q12,16,direct,0.07107842070854745,0.015609450962232508,18.46389873082184,1.1356685913835063,23
compressed_deterministic,low_rate,q4_top10,stage65_adapter,q12,16,amortized,0.07010283002340792,0.015609450962232508,18.46389873082184,1.1356685913835063,23
compressed_deterministic,near_anchor,q5_top10,linear,q12,4,direct,0.20327615377843827,0.021337933010525174,21.4784888866844,1.4936924638322937,18
compressed_deterministic,near_anchor,q5_top10,linear,q12,4,amortized,0.19794167052580697,0.021337933010525174,21.4784888866844,1.4936924638322937,18
compressed_deterministic,near_anchor,q5_top10,linear,q12,8,direct,0.11942256692929562,0.02179718017578125,19.733089874168467,1.275500067162173,19
compressed_deterministic,near_anchor,q5_top10,linear,q12,8,amortized,0.11669791940732296,0.02179718017578125,19.733089874168467,1.275500067162173,19
compressed_deterministic,near_anchor,q5_top10,linear,q12,16,direct,0.07700347484407734,0.021534505097762398,18.347161779615238,1.262946343441282,23
compressed_deterministic,near_anchor,q5_top10,linear,q12,16,amortized,0.07565756827546719,0.021534505097762398,18.347161779615238,1.262946343441282,23
compressed_deterministic,near_anchor,q5_top10,stage65_adapter,q12,4,direct,0.2074928247684285,0.02555460400051541,21.36863127411855,1.3268989652746772,18
