edge_id,task_id,sequence,reference_gap,left_index,right_index,target_index,normalized_time,setting_label,keep_fraction,side_bits,payload_bytes,base_anchor_mse,corrected_anchor_mse,anchor_mse_reduction,base_render_mse,corrected_render_mse,base_psnr,corrected_psnr,delta_psnr_vs_base,status,error
parkour:00000:00012:gap12,stage199_00027804,parkour,12,0,12,10,0.8333333333333334,topk_keep0p05_q6,0.05,6,15822,0.010204237885773182,0.006108327303081751,0.40139309064932494,0.017511561512947083,0.010293753817677498,17.566751259771078,19.874262224179528,2.3075109644084506,ok,
parkour:00000:00012:gap12,stage199_00027804,parkour,12,0,12,10,0.8333333333333334,topk_keep0p1_q6,0.1,6,30560,0.010204237885773182,0.004093383904546499,0.5988545200172644,0.017511561512947083,0.007407021708786488,17.566751259771078,21.303563824994292,3.7368125652232145,ok,
parkour:00000:00012:gap12,stage199_00027804,parkour,12,0,12,10,0.8333333333333334,topk_keep0p2_q6,0.2,6,57995,0.010204237885773182,0.002012984361499548,0.802730553321766,0.017511561512947083,0.0042255949229002,17.566751259771078,23.741121379465397,6.17437011969432,ok,
parkour:00000:00012:gap12,stage199_00027805,parkour,12,0,12,11,0.9166666666666666,topk_keep0p05_q6,0.05,6,16015,0.00894906185567379,0.005101591348648071,0.4299300383745125,0.01338154450058937,0.00852255616337061,18.734937573176968,20.694301281029936,1.9593637078529689,ok,
parkour:00000:00012:gap12,stage199_00027805,parkour,12,0,12,11,0.9166666666666666,topk_keep0p1_q6,0.1,6,30654,0.00894906185567379,0.0033060461282730103,0.6305706473380843,0.01338154450058937,0.006148339249193668,18.734937573176968,22.112421772835525,3.377484199658557,ok,
parkour:00000:00012:gap12,stage199_00027805,parkour,12,0,12,11,0.9166666666666666,topk_keep0p2_q6,0.2,6,57522,0.00894906185567379,0.0015027866465970874,0.8320732752959679,0.01338154450058937,0.0033701742067933083,18.734937573176968,24.723476495459835,5.988538922282867,ok,
parkour:00004:00008:gap4,stage199_00027556,parkour,4,4,8,5,0.25,topk_keep0p05_q6,0.05,6,15922,0.006923696957528591,0.003835259238258004,0.44606772049899235,0.009434751234948635,0.006337116938084364,20.25269546343076,21.981082788150808,1.728387324720046,ok,
parkour:00004:00008:gap4,stage199_00027556,parkour,4,4,8,5,0.25,topk_keep0p1_q6,0.1,6,30335,0.006923696957528591,0.0025558886118233204,0.6308491507497112,0.009434751234948635,0.004756529815495014,20.25269546343076,23.2270977660789,2.974402302648137,ok,
parkour:00004:00008:gap4,stage199_00027556,parkour,4,4,8,5,0.25,topk_keep0p2_q6,0.2,6,56708,0.006923696957528591,0.0012837157119065523,0.8145910024974903,0.009434751234948635,0.003057414200156927,20.25269546343076,25.14645721673929,4.893761753308528,ok,
parkour:00004:00008:gap4,stage199_00027557,parkour,4,4,8,6,0.5,topk_keep0p05_q6,0.05,6,15868,0.007268412038683891,0.004328112583607435,0.4045312015097129,0.011227828450500965,0.007438816595822573,19.497042315532703,21.284961486990802,1.7879191714580998,ok,
parkour:00004:00008:gap4,stage199_00027557,parkour,4,4,8,6,0.5,topk_keep0p1_q6,0.1,6,30138,0.007268412038683891,0.0030006440356373787,0.5871664925340814,0.011227828450500965,0.005532288923859596,19.497042315532703,22.570951469355922,3.0739091538232195,ok,
parkour:00004:00008:gap4,stage199_00027557,parkour,4,4,8,6,0.5,topk_keep0p2_q6,0.2,6,56840,0.007268412038683891,0.001565088634379208,0.784672549375365,0.011227828450500965,0.0035324066411703825,19.497042315532703,24.51929307401647,5.022250758483768,ok,
parkour:00004:00008:gap4,stage199_00027558,parkour,4,4,8,7,0.75,topk_keep0p05_q6,0.05,6,16047,0.007151806727051735,0.004019971936941147,0.437908197136314,0.010420278646051884,0.006905443966388702,19.821206675216466,21.60808394427208,1.7868772690556156,ok,
parkour:00004:00008:gap4,stage199_00027558,parkour,4,4,8,7,0.75,topk_keep0p1_q6,0.1,6,30565,0.007151806727051735,0.0027077256236225367,0.6213927854928525,0.010420278646051884,0.005137606058269739,19.821206675216466,22.892391996568225,3.0711853213517593,ok,
parkour:00004:00008:gap4,stage199_00027558,parkour,4,4,8,7,0.75,topk_keep0p2_q6,0.2,6,57387,0.007151806727051735,0.0013490826822817326,0.8113647734384624,0.010420278646051884,0.003146258182823658,19.821206675216466,25.022056419241405,5.200849744024939,ok,
