sequence,frame_index,chosen_schedule,final_type,measurement_key,psnr,ssim,ms_ssim,lpips
cows,54,uniform_gap2,q12_keyframe,keyframe::cows:00054,24.854530221976816,0.7753963470458984,0.9774783253669739,0.2015356570482254
cows,55,uniform_gap6,stage158_residual_recovery,residual::cows:00055:00054:00060,24.859060905291198,0.7722323536872864,0.9757238626480103,0.207868292927742
cows,56,uniform_gap2,q12_keyframe,keyframe::cows:00056,24.798063898020096,0.7717583179473877,0.9770551323890686,0.20782984793186188
cows,57,uniform_gap8,stage158_residual_recovery,residual::cows:00057:00056:00064,24.837268883510028,0.7734870910644531,0.9759055376052856,0.2076205611228943
cows,58,uniform_gap2,q12_keyframe,keyframe::cows:00058,24.901090302988493,0.7780008316040039,0.9776737689971924,0.20122279226779938
cows,59,uniform_gap4,stage158_residual_recovery,residual::cows:00059:00056:00060,24.68023984808116,0.7670412063598633,0.9752452969551086,0.20861652493476868
cows,6,uniform_gap2,q12_keyframe,keyframe::cows:00006,24.722928665876303,0.7742063999176025,0.97723388671875,0.20604707300662994
cows,60,uniform_gap2,q12_keyframe,keyframe::cows:00060,24.83721590775727,0.7746913433074951,0.9775350093841553,0.20389516651630402
cows,61,uniform_gap6,stage158_residual_recovery,residual::cows:00061:00060:00066,24.78069614341784,0.7705253958702087,0.9758592247962952,0.21145987510681152
cows,62,uniform_gap2,q12_keyframe,keyframe::cows:00062,24.701609870603708,0.7709495425224304,0.9767221212387085,0.20852428674697876
cows,63,uniform_gap16,stage158_residual_recovery,residual::cows:00063:00048:00064,24.779938301802027,0.7721406817436218,0.9757922291755676,0.20960727334022522
cows,64,uniform_gap2,q12_keyframe,keyframe::cows:00064,24.76463803692773,0.7727785110473633,0.9772441387176514,0.20679354667663574
cows,65,uniform_gap16,stage158_residual_recovery,residual::cows:00065:00064:00080,24.597974359652,0.765144407749176,0.9750668406486511,0.2121499627828598
cows,66,uniform_gap2,q12_keyframe,keyframe::cows:00066,24.75718208282009,0.7718191742897034,0.9771186113357544,0.20691387355327606
cows,67,uniform_gap4,stage158_residual_recovery,residual::cows:00067:00064:00068,24.67189120092952,0.7682105898857117,0.9753332734107971,0.2091599702835083
cows,68,uniform_gap2,q12_keyframe,keyframe::cows:00068,24.636013017421938,0.7689106464385986,0.9765980839729309,0.20884764194488525
cows,69,uniform_gap2,stage158_residual_recovery,residual::cows:00069:00068:00070,24.707838649258882,0.770476758480072,0.9756512641906738,0.20880290865898132
cows,7,uniform_gap4,stage158_residual_recovery,residual::cows:00007:00004:00008,24.684310328691485,0.7724655270576477,0.9756959080696106,0.20995470881462097
cows,70,uniform_gap2,q12_keyframe,keyframe::cows:00070,24.819350704216614,0.7750646471977234,0.9774604439735413,0.20624442398548126
cows,71,uniform_gap6,stage158_residual_recovery,residual::cows:00071:00066:00072,24.755116763318004,0.7684454917907715,0.9754059910774231,0.21339084208011627
cows,72,uniform_gap2,q12_keyframe,keyframe::cows:00072,24.864544015860126,0.7762377262115479,0.977384090423584,0.19998428225517273
cows,73,uniform_gap2,stage158_residual_recovery,residual::cows:00073:00072:00074,24.78737591253372,0.7728611826896667,0.9759975671768188,0.20740783214569092
cows,74,uniform_gap2,q12_keyframe,keyframe::cows:00074,24.686225927501123,0.7696276307106018,0.9764736890792847,0.20790092647075653
cows,75,uniform_gap4,stage158_residual_recovery,residual::cows:00075:00072:00076,24.773500919504926,0.7720118165016174,0.9757491946220398,0.2092585563659668
cows,76,uniform_gap2,q12_keyframe,keyframe::cows:00076,24.73813210874365,0.7725081443786621,0.9771652817726135,0.20409812033176422
cows,77,uniform_gap2,stage158_residual_recovery,residual::cows:00077:00076:00078,24.5713751371272,0.7657590508460999,0.9754025340080261,0.21321526169776917
cows,78,uniform_gap2,q12_keyframe,keyframe::cows:00078,24.719330189744166,0.7715049386024475,0.9770001769065857,0.2038096934556961
cows,79,uniform_gap16,stage158_residual_recovery,residual::cows:00079:00064:00080,24.70000647285767,0.7683762907981873,0.9758063554763794,0.21052062511444092
cows,8,uniform_gap2,q12_keyframe,keyframe::cows:00008,24.591386464943994,0.7695989608764648,0.9766132235527039,0.20830999314785004
cows,80,uniform_gap2,q12_keyframe,keyframe::cows:00080,24.612947395696985,0.7660120129585266,0.9764521718025208,0.21227827668190002
cows,81,uniform_gap16,stage158_residual_recovery,residual::cows:00081:00080:00096,24.73498186720829,0.7694961428642273,0.976060688495636,0.21322980523109436
cows,82,uniform_gap2,q12_keyframe,keyframe::cows:00082,24.735364842000344,0.7694945931434631,0.9771103858947754,0.20917919278144836
cows,83,uniform_gap2,stage158_residual_recovery,residual::cows:00083:00082:00084,24.580488507459886,0.764991283416748,0.9748212099075317,0.2121356725692749
cows,84,uniform_gap2,q12_keyframe,keyframe::cows:00084,24.7992617957229,0.7747259140014648,0.9775645732879639,0.2042350471019745
cows,85,uniform_gap6,stage158_residual_recovery,residual::cows:00085:00084:00090,24.786571849236054,0.7722064852714539,0.9758279323577881,0.2073318213224411
cows,86,uniform_gap2,q12_keyframe,keyframe::cows:00086,24.765421992990234,0.7740211486816406,0.9774094223976135,0.20572809875011444
cows,87,uniform_gap4,stage158_residual_recovery,residual::cows:00087:00084:00088,24.79496597714739,0.7751539349555969,0.9762144684791565,0.21265947818756104
cows,88,uniform_gap2,q12_keyframe,keyframe::cows:00088,24.804765562918902,0.7777485251426697,0.9779630303382874,0.20729053020477295
cows,89,uniform_gap6,stage158_residual_recovery,residual::cows:00089:00084:00090,24.623686179142418,0.7714144587516785,0.9755339622497559,0.20918427407741547
cows,9,uniform_gap2,stage158_residual_recovery,residual::cows:00009:00008:00010,24.771137514938797,0.7732343673706055,0.9761819243431091,0.20763759315013885
cows,90,uniform_gap2,q12_keyframe,keyframe::cows:00090,24.72704267654607,0.7755504250526428,0.9776143431663513,0.20550411939620972
cows,91,uniform_gap6,stage158_residual_recovery,residual::cows:00091:00090:00096,24.65887100191274,0.773078978061676,0.9757533073425293,0.21080799400806427
cows,92,uniform_gap2,q12_keyframe,keyframe::cows:00092,24.60752908048694,0.7734361290931702,0.9772730469703674,0.20861287415027618
cows,93,uniform_gap4,stage158_residual_recovery,residual::cows:00093:00092:00096,24.59916787882203,0.7749843597412109,0.976317822933197,0.20816928148269653
cows,94,uniform_gap2,q12_keyframe,keyframe::cows:00094,24.662844270001756,0.7778406739234924,0.977963924407959,0.20259806513786316
cows,95,uniform_gap16,stage158_residual_recovery,residual::cows:00095:00080:00096,24.515563336296502,0.7709865570068359,0.9757382273674011,0.21367034316062927
cows,96,uniform_gap2,q12_keyframe,keyframe::cows:00096,24.66141453949596,0.774912416934967,0.9777975678443909,0.20639677345752716
cows,97,uniform_gap8,stage158_residual_recovery,residual::cows:00097:00096:00103,24.673085339992532,0.7749554514884949,0.9764597415924072,0.20553597807884216
cows,98,uniform_gap2,q12_keyframe,keyframe::cows:00098,24.6123144815547,0.7739710807800293,0.9773399233818054,0.20745478570461273
cows,99,uniform_gap2,stage158_residual_recovery,residual::cows:00099:00098:00100,24.773380730782577,0.776134729385376,0.9767223596572876,0.20833079516887665
dance-twirl,0,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00000,28.42140674530497,0.8262994885444641,0.9844484925270081,0.21737878024578094
dance-twirl,1,uniform_gap16,stage158_residual_recovery,residual::dance-twirl:00001:00000:00016,28.276652569810192,0.8241761326789856,0.9817524552345276,0.21514461934566498
dance-twirl,10,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00010,30.71707962183064,0.8934125900268555,0.9895225167274475,0.13835591077804565
dance-twirl,11,uniform_gap6,stage158_residual_recovery,residual::dance-twirl:00011:00006:00012,30.484286982183,0.882892906665802,0.9858013391494751,0.1588727980852127
dance-twirl,12,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00012,30.754073976286918,0.8944323658943176,0.9897269010543823,0.1380588412284851
dance-twirl,13,uniform_gap4,stage158_residual_recovery,residual::dance-twirl:00013:00012:00016,29.87219602372869,0.8755547404289246,0.9857005476951599,0.17342233657836914
dance-twirl,14,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00014,30.238759412405987,0.889971911907196,0.9895676374435425,0.14341235160827637
dance-twirl,15,uniform_gap16,stage158_residual_recovery,residual::dance-twirl:00015:00000:00016,30.70837565231416,0.8974254727363586,0.9880229830741882,0.15656223893165588
dance-twirl,16,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00016,31.022777108802387,0.9075267910957336,0.9917758107185364,0.14288628101348877
dance-twirl,17,uniform_gap16,stage158_residual_recovery,residual::dance-twirl:00017:00016:00032,30.4192579510542,0.886742889881134,0.9874814748764038,0.17784331738948822
dance-twirl,18,uniform_gap2,q12_keyframe,keyframe::dance-twirl:00018,30.135753586338826,0.8927574753761292,0.9902950525283813,0.1575491577386856
