oracle,sequence,frame_count,mean_psnr,mean_ssim,mean_ms_ssim,mean_lpips,chosen_edge_count,keyframe_count,additive_payload_bytes
framewise_psnr_oracle,loading,50,28.764354475913343,0.9242931234836579,0.9904391729831695,0.11217219024896621,,28,
framewise_psnr_oracle,mbike-trick,79,30.141710268965653,0.8868838412852227,0.9883310983452616,0.18228202077406871,,40,
framewise_psnr_oracle,motocross-jump,40,35.2711024484843,0.9379384711384773,0.9910291984677315,0.11847698967903852,,23,
framewise_psnr_oracle,paragliding-launch,80,31.102862192935653,0.8479596801102162,0.9814660035073757,0.1680157999508083,,41,
framewise_psnr_oracle,parkour,100,27.765997795884154,0.8412803864479065,0.9838388866186142,0.17719953387975693,,52,
framewise_psnr_oracle,pigs,79,31.760611157674877,0.8830199566068528,0.9886844233621525,0.14648765259528462,,40,
framewise_psnr_oracle,scooter-black,43,26.58078936387892,0.9057159423828125,0.9896945828615233,0.14102040473804917,,24,
framewise_psnr_oracle,shooting,40,35.80081242328106,0.9605248093605041,0.9947096824645996,0.08642824506387115,,24,
framewise_psnr_oracle,soapbox,99,30.8716376104163,0.89710177737053,0.9887943779579317,0.13336941253657292,,52,
schedule_path_psnr_oracle,bike-packing,69,26.048443410191435,0.8447826504707336,0.9848436877347421,0.1868663996026136,32,33,29884126
schedule_path_psnr_oracle,blackswan,50,30.024663970956013,0.8883458638191223,0.9880058097839356,0.15398957341909408,25,26,24162990
schedule_path_psnr_oracle,bmx-trees,80,30.46742311471951,0.8782036252319813,0.9864985443651676,0.13277643732726574,42,43,40028175
schedule_path_psnr_oracle,breakdance,84,25.595675035142296,0.8635749071836472,0.9856629187152499,0.16730156079644248,37,38,33672754
schedule_path_psnr_oracle,camel,90,25.785110452207356,0.808796207110087,0.9814740816752116,0.18374662068155076,49,50,45272973
schedule_path_psnr_oracle,car-roundabout,75,26.978378904818744,0.8950799489021302,0.9887795821825663,0.13715437253316243,41,42,37830606
schedule_path_psnr_oracle,car-shadow,40,29.7949543573195,0.9151013538241386,0.9900545001029968,0.13062928933650256,22,23,20267369
schedule_path_psnr_oracle,cows,104,24.699091310456485,0.771260553254531,0.976424454496457,0.2081125074854264,53,54,49906211
schedule_path_psnr_oracle,dance-twirl,90,28.650844159612603,0.858432428042094,0.9857177621788449,0.19197469900051753,46,47,42987896
schedule_path_psnr_oracle,dog,60,32.05314345816499,0.8947443674008052,0.9899745384852091,0.15489462980379662,31,32,29494047
schedule_path_psnr_oracle,dogs-jump,66,32.34394414518255,0.8882500195141995,0.9872819031729843,0.12500689460924178,33,34,29082612
schedule_path_psnr_oracle,drift-chicane,52,30.907180663380295,0.8965436976689559,0.988715363236574,0.16628112386052424,27,28,23138843
schedule_path_psnr_oracle,drift-straight,50,31.396068263767933,0.9373773920536042,0.9928617155551911,0.10179468840360642,28,29,26155893
schedule_path_psnr_oracle,goat,90,27.34016413074402,0.864020002550549,0.9879787902037303,0.17165700081321927,47,48,44849001
schedule_path_psnr_oracle,gold-fish,78,33.783892750876426,0.912219626781268,0.9837952378468636,0.0693309136117116,39,40,36287942
schedule_path_psnr_oracle,horsejump-high,50,28.066278401898764,0.8859942555427551,0.9869332385063171,0.14181628093123436,26,27,24237500
schedule_path_psnr_oracle,india,81,33.60240598100155,0.9288504498976248,0.9901599486668905,0.11884321598910991,41,42,38890660
schedule_path_psnr_oracle,judo,34,31.472938980732813,0.9316295771037831,0.9912973449510687,0.147670825395514,14,15,12995826
schedule_path_psnr_oracle,kite-surf,50,32.159595670451786,0.9076683545112609,0.9876384651660919,0.09602250635623932,25,26,23955911
schedule_path_psnr_oracle,lab-coat,47,29.372710589235343,0.8913153270457653,0.9885049880819118,0.14579259350578835,24,25,22893185
schedule_path_psnr_oracle,libby,49,33.68883527262147,0.9089590067766151,0.9885482033904718,0.12370843531525864,26,27,25012440
schedule_path_psnr_oracle,loading,50,28.704550879771283,0.9218816816806793,0.9901232361793518,0.11691485598683357,26,27,24568483
schedule_path_psnr_oracle,mbike-trick,79,30.113725301150353,0.8850910837137247,0.9880516415909876,0.18685177345819112,38,39,35189663
schedule_path_psnr_oracle,motocross-jump,40,34.60084234559409,0.9143956989049912,0.9876142919063569,0.15170829147100448,22,23,20455728
schedule_path_psnr_oracle,paragliding-launch,80,31.096133091558,0.8475076459348202,0.9814116775989532,0.1682213687337935,40,41,37875231
schedule_path_psnr_oracle,parkour,100,27.722224478518587,0.8385969853401184,0.9834879076480866,0.18010992869734765,51,52,48163275
schedule_path_psnr_oracle,pigs,79,31.73406017461858,0.8819692957250378,0.9885635300527645,0.1477920896833456,39,40,35912073
schedule_path_psnr_oracle,scooter-black,43,26.500013183294435,0.9029185688772867,0.989297374736431,0.1453786168334096,23,24,21765896
schedule_path_psnr_oracle,shooting,40,35.52082541559511,0.9538932099938393,0.9939722344279289,0.10637535685673356,22,23,20543267
schedule_path_psnr_oracle,soapbox,99,30.81745582497695,0.895832708989731,0.988640182548099,0.13525447994470596,51,52,48216206
